Created Date,Agency,Complaint Type,Location Type,Street Name,City
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,OCEAN AVENUE,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,2 STREET,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WILLMOHR STREET,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CHURCH AVENUE,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,DAVIDSON AVENUE,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST   13 STREET,NEW YORK
February,DOT,Traffic Signal Condition,,,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BOOTH STREET,Rego Park
February,DOT,Street Light Condition,,79 ST E,
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,208 STREET,Queens Village
February,HPD,PLUMBING,RESIDENTIAL BUILDING,ANDERSON AVENUE,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,DUMONT AVENUE,Ozone Park
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,DAVIDSON AVENUE,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  188 STREET,BRONX
February,NYPD,Illegal Parking,Street/Sidewalk,WEST 50 STREET,NEW YORK
February,DOB,Building/Use,,90 STREET,Woodhaven
February,NYPD,Illegal Parking,Street/Sidewalk,64 STREET,RIDGEWOOD
February,NYPD,Illegal Parking,Street/Sidewalk,HINTON STREET,STATEN ISLAND
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,118 STREET,Kew Gardens
February,DOT,Street Condition,,CONVENT AVENUE,NEW YORK
February,NYPD,Noise - Residential,Residential Building/House,VYSE AVENUE,BRONX
February,NYPD,Noise - Residential,Residential Building/House,WEST 106 STREET,NEW YORK
February,HPD,PLUMBING,RESIDENTIAL BUILDING,CRESTON AVENUE,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   83 STREET,NEW YORK
February,HPD,WATER LEAK,RESIDENTIAL BUILDING,WEST  161 STREET,NEW YORK
February,NYPD,Noise - Commercial,Club/Bar/Restaurant,LEFFERTS BOULEVARD,RICHMOND HILL
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   14 STREET,NEW YORK
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,MONTGOMERY STREET,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CARROLL STREET,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,149 DRIVE,Rosedale
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   13 STREET,NEW YORK
February,DOT,Traffic Signal Condition,,,Flushing
February,DOHMH,Food Establishment,Restaurant/Bar/Deli/Bakery,RICHMOND ROAD,STATEN ISLAND
February,HPD,PLUMBING,RESIDENTIAL BUILDING,FOREST AVENUE,BRONX
February,DEP,Sewer,,EAST  217 STREET,BRONX
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,EAST NEW YORK AVENUE,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,FOSTER AVENUE,BROOKLYN
February,DOT,Street Light Condition,,45 ST E,
February,DOT,Traffic Signal Condition,,,
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,LIBERTY AVENUE,BROOKLYN
February,NYPD,Noise - Vehicle,Street/Sidewalk,,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BRONX BOULEVARD,BRONX
February,NYPD,Illegal Parking,Street/Sidewalk,75 PLACE,MIDDLE VILLAGE
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BROADWAY,NEW YORK
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,HALSEY STREET,BROOKLYN
February,DOT,Traffic Signal Condition,,,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,52 STREET,Woodside
February,NYPD,Illegal Parking,Street/Sidewalk,SULLIVAN STREET,NEW YORK
February,DEP,Water System,,66 STREET,BROOKLYN
February,NYPD,Noise - Residential,Residential Building/House,JUSTIN AVENUE,STATEN ISLAND
February,NYPD,Noise - Residential,Residential Building/House,MARION AVENUE,BRONX
February,DOB,Elevator,,GILES PLACE,BRONX
February,NYPD,Derelict Vehicle,Street/Sidewalk,BAYVIEW AVENUE,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SEDGWICK AVENUE,BRONX
February,DOF,DOF Literature Request,,,
February,DPR,Overgrown Tree/Branches,Street,HAWTHORNE AVENUE,FLUSHING
February,HPD,PLUMBING,RESIDENTIAL BUILDING,MADISON STREET,NEW YORK
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,COLUMBUS AVENUE,NEW YORK
February,DEP,Sewer,,9 STREET,Astoria
February,DOT,Traffic Signal Condition,,,
February,DEP,Lead,,75 ROAD,Flushing
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  119 STREET,NEW YORK
February,DOT,Traffic Signal Condition,,,
February,DEP,Noise,,5 AVENUE,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST  107 STREET,NEW YORK
February,DOB,Boilers,,SNYDER AVENUE,BROOKLYN
February,DOT,Traffic Signal Condition,,,BROOKLYN
February,DOT,Street Condition,Street,KNAPP STREET,BROOKLYN
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,208 STREET,Queens Village
February,NYPD,Homeless Encampment,Residential Building/House,AVENUE B,NEW YORK
February,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,20 AVENUE,Whitestone
February,NYPD,Noise - Residential,Residential Building/House,WEST 72 STREET,NEW YORK
February,DEP,Water Conservation,,DIVISION PLACE,BROOKLYN
February,NYPD,Noise - Street/Sidewalk,Street/Sidewalk,35 AVENUE,JACKSON HEIGHTS
February,DOHMH,Food Poisoning,Other (Explain Below),80 STREET,Ozone Park
February,HPD,PLUMBING,RESIDENTIAL BUILDING,STERLING PLACE,BROOKLYN
February,DOT,Street Condition,Street,MOTT AVE,
February,FDNY,Fire Safety Director - F58,Street Address,PLATT STREET,NEW YORK
February,DOT,Street Condition,,GRAND STREET,NEW YORK
February,DEP,Air Quality,,,NEW YORK
February,DOT,Street Condition,,29 AVENUE,Little Neck
February,DOT,Street Light Condition,,MARIA HERNANDEZ PARK,
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WHITE PLAINS ROAD,BRONX
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,PALMETTO STREET,BROOKLYN
February,DPR,Damaged Tree,,E 17TH ST,BROOKLYN
February,DSNY,Sanitation Condition,Sidewalk,AVENUE S,BROOKLYN
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,WEST  184 STREET,NEW YORK
February,DOHMH,Rodent,Other (Explain Below),EAST 148TH STREET,BRONX
February,DOF,DOF Property - Owner Issue,Property Address,,NEW YORK
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,SENECA AVENUE,Ridgewood
February,DSNY,Graffiti,Comercial,EAST   19 STREET,NEW YORK
February,DSNY,Recycling Enforcement,Sidewalk,69 PLACE,Maspeth
February,NYPD,Noise - Residential,Residential Building/House,EAST 96 STREET,BROOKLYN
February,DOT,Street Condition,Street,MADISON AVENUE,NEW YORK
February,DOT,Street Light Condition,,9 STREET,BROOKLYN
February,DSNY,Graffiti,Mixed Use,FORT HAMILTON PARKWAY,BROOKLYN
February,DEP,Industrial Waste,,27 STREET,Long Island City
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,SOUTH    3 STREET,BROOKLYN
February,DOHMH,Food Establishment,Restaurant/Bar/Deli/Bakery,WEST 8 STREET,NEW YORK
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,PRESIDENT STREET,BROOKLYN
February,DOHMH,Rodent,3+ Family Apt. Building,WEST  115 STREET,NEW YORK
February,NYPD,Blocked Driveway,Street/Sidewalk,BRIGHTON 12 STREET,BROOKLYN
February,DOT,Street Condition,Street,,BROOKLYN
February,DSNY,Sanitation Condition,Street,LENOX ROAD,BROOKLYN
February,DOHMH,Window Guard,3+ Family Apartment Building,CLARKSON AVENUE,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,VALENTINE AVENUE,BRONX
February,DOF,DOF Property - Update Account,Property Address,,SOUTH OZONE PARK
February,DSNY,Sanitation Condition,Street,,Saint Albans
February,DEP,Air Quality,,14 AVENUE,BROOKLYN
February,DOT,Broken Parking Meter,Street,AMSTERDAM AVENUE,NEW YORK
February,DOT,Street Light Condition,,142 STREET,Flushing
February,DSNY,Sanitation Condition,Street,HALSEY STREET,BROOKLYN
February,DOF,DOF Property - Update Account,Property Address,,KEW GARDENS
February,NYPD,Blocked Driveway,Street/Sidewalk,33 AVENUE,FLUSHING
February,HRA,Benefit Card Replacement,NYC Street Address,,
February,DOF,DOF Literature Request,,,
February,NYPD,Noise - Residential,Residential Building/House,39 STREET,SUNNYSIDE
February,NYPD,Noise - Residential,Residential Building/House,WEST 87 STREET,NEW YORK
February,NYPD,Illegal Parking,Street/Sidewalk,,NEW YORK
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BEACH 88 STREET,Far Rockaway
February,DEP,Water System,,,Queens Village
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BRIGHTON    4 STREET,BROOKLYN
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,EAST NEW YORK AVENUE,BROOKLYN
February,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,114 STREET,South Richmond Hill
February,DOB,Building/Use,,ELDERT STREET,BROOKLYN
February,NYPD,Noise - Residential,Residential Building/House,HOLLAND AVENUE,BRONX
February,DOT,Street Sign - Damaged,Street,,CORONA
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,NEW YORK AVENUE,BROOKLYN
February,NYPD,Noise - Residential,Residential Building/House,WEST 26 STREET,NEW YORK
February,NYPD,Noise - Residential,Residential Building/House,BRONX PARK EAST,BRONX
February,NYPD,Noise - Residential,Residential Building/House,LORING PLACE NORTH,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BOYNTON AVENUE,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BOYNTON AVENUE,BRONX
February,NYPD,Noise - Residential,Residential Building/House,NEW YORK AVENUE,BROOKLYN
February,DSNY,Dirty Conditions,Sidewalk,92 ROAD,Bellerose
February,NYPD,Blocked Driveway,Street/Sidewalk,SULLIVAN PLACE,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SHERMAN AVENUE,NEW YORK
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,BOLTON STREET,BRONX
February,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,EAST   66 STREET,NEW YORK
February,DOHMH,Food Establishment,Restaurant/Bar/Deli/Bakery,2ND AVENUE,NEW YORK
February,NYPD,Noise - Residential,Residential Building/House,BAILEY AVENUE,BRONX
February,NYPD,Noise - Residential,Residential Building/House,ATLANTIC AVENUE,BROOKLYN
February,NYPD,Noise - Residential,Residential Building/House,WEST 173 STREET,NEW YORK
February,HPD,PLUMBING,RESIDENTIAL BUILDING,ST NICHOLAS AVENUE,NEW YORK
February,NYPD,Blocked Driveway,Street/Sidewalk,FAILE STREET,BRONX
February,NYPD,Blocked Driveway,Street/Sidewalk,133 AVENUE,JAMAICA
February,NYPD,Blocked Driveway,Street/Sidewalk,148 STREET,JAMAICA
February,NYPD,Illegal Parking,Street/Sidewalk,BATHGATE AVENUE,BRONX
February,DOT,Street Condition,,,
February,DOF,DOF Parking - Request Status,N/A,,
February,DPR,Root/Sewer/Sidewalk Condition,Street,81 STREET,HOWARD BEACH
February,DFTA,Housing Options,Senior Address,,NEW YORK
February,NYPD,Homeless Encampment,Street/Sidewalk,WEST 41 STREET,NEW YORK
February,DSNY,Dirty Conditions,Sidewalk,,BROOKLYN
February,DOT,Street Condition,,,NEW YORK
February,NYPD,Noise - Residential,Residential Building/House,124 STREET,SOUTH OZONE PARK
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,MORRIS AVENUE,BRONX
February,DOB,Building/Use,,84 AVENUE,Jamaica
February,NYPD,Vending,Street/Sidewalk,BROADWAY,NEW YORK
February,DSNY,Sanitation Condition,Street,MONTAUK STREET,Springfield Gardens
February,DOT,Traffic Signal Condition,,,
February,NYCEM,OEM Literature Request,,,
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,EAST  111 STREET,NEW YORK
February,DOB,Elevator,,PULASKI STREET,BROOKLYN
February,NYPD,Noise - Street/Sidewalk,Street/Sidewalk,WEST 164 STREET,NEW YORK
February,NYPD,Blocked Driveway,Street/Sidewalk,,BROOKLYN
February,NYPD,Illegal Parking,Street/Sidewalk,HULL STREET,BROOKLYN
February,DOF,DOF Property - Payment Issue,Property Address,,BROOKLYN
February,DOF,DOF Literature Request,,,
February,DOT,Street Condition,,,BRONX
February,DOF,DOF Property - Update Account,Property Address,,BROOKLYN
February,DOF,DOF Literature Request,,,
February,DOT,Street Light Condition,,MORENCI LANE,Little Neck
February,DCA,Consumer Complaint,,EAST 156 STREET,BRONX
February,NYPD,Noise - Commercial,Store/Commercial,8 AVENUE,BROOKLYN
February,NYPD,Derelict Vehicle,Street/Sidewalk,MENAHAN STREET,RIDGEWOOD
February,NYPD,Noise - Residential,Residential Building/House,13 STREET,BROOKLYN
February,DSNY,Dirty Conditions,Sidewalk,161 STREET,Flushing
February,NYPD,Non-Emergency Police Matter,Street/Sidewalk,MONROE STREET,BROOKLYN
February,DEP,Water System,,GRAND CONCOURSE,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,96 STREET,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BOYNTON AVENUE,BRONX
February,DSNY,Dirty Conditions,Sidewalk,FRISBY AVENUE,BRONX
February,HPD,WATER LEAK,RESIDENTIAL BUILDING,EAST    9 STREET,NEW YORK
February,DOT,Street Condition,,,NEW YORK
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,BLACKROCK AVENUE,BRONX
February,DOF,DOF Literature Request,,,
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,4 AVENUE,BROOKLYN
February,DOT,Street Light Condition,,THROOP AVENUE,BROOKLYN
February,DEP,Sewer,,,NEW YORK
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,DECATUR AVENUE,BRONX
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,CONVENT AVENUE,NEW YORK
February,DSNY,Sanitation Condition,Street,5 AVENUE,BROOKLYN
February,NYPD,Illegal Parking,Street/Sidewalk,168 STREET,JAMAICA
February,DOT,Traffic Signal Condition,,,
February,DPR,Damaged Tree,Street,154 STREET,WHITESTONE
February,DOT,Street Light Condition,,FORDHAM RD E,
February,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,CROMWELL AVENUE,BRONX
February,HPD,WATER LEAK,RESIDENTIAL BUILDING,COLLEGE AVENUE,BRONX
February,DPR,Damaged Tree,Street,AVENUE S,BROOKLYN
February,DOHMH,Rodent,Other (Explain Below),EAST 148TH STREET,BRONX
February,HPD,HPD Literature Request,,,
February,NYPD,Noise - Commercial,Club/Bar/Restaurant,WEST 14 STREET,NEW YORK
February,NYPD,Noise - Street/Sidewalk,Street/Sidewalk,EAST 22 STREET,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,AVENUE K,BROOKLYN
February,DOT,Street Condition,Street,KINGS HIGHWAY,
February,DPR,Damaged Tree,Street,57 ROAD,OAKLAND GARDENS
February,DOT,Broken Muni Meter,Street,,STATEN ISLAND
February,DSNY,Derelict Vehicles,Street,SARATOGA AVENUE,BROOKLYN
February,DPR,Damaged Tree,Street,78 STREET,RIDGEWOOD
February,DOT,Street Light Condition,,266 ST,Floral Park
February,HPD,GENERAL,RESIDENTIAL BUILDING,FREEMAN STREET,BRONX
February,DPR,Damaged Tree,Street,EAST 31 STREET,BROOKLYN
February,DOT,Broken Muni Meter,Street,,BROOKLYN
February,DOT,Street Condition,,SPRINGFIELD BOULEVARD,Bayside
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,BEACH   32 STREET,Far Rockaway
February,DEP,Noise,,HORACE HARDING EXPRESSWAY,Corona
February,DOT,Traffic Signal Condition,,,BROOKLYN
February,DOB,Elevator,,EAST   79 STREET,NEW YORK
February,NYPD,Blocked Driveway,Street/Sidewalk,EAST 49 STREET,BROOKLYN
February,DFTA,Housing - Low Income Senior,Senior Address,,BROOKLYN
February,DOT,Traffic Signal Condition,,,BROOKLYN
February,DOT,Street Light Condition,,,
February,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,JESUP AVENUE,BRONX
February,DOT,Street Light Condition,,,BROOKLYN
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,LEFFERTS BOULEVARD,Kew Gardens
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,EAST   94 STREET,BROOKLYN
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,LAKE AVENUE,STATEN ISLAND
February,DOT,Street Condition,,,NEW YORK
February,NYPD,Illegal Parking,Street/Sidewalk,THATFORD AVENUE,BROOKLYN
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,MORRIS AVENUE,BRONX
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,WEBSTER AVENUE,BRONX
February,DOT,Street Light Condition,,,BROOKLYN
February,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,LEFFERTS BOULEVARD,Kew Gardens
February,DOT,Street Condition,,WEST CEDARVIEW AVENUE,STATEN ISLAND
February,DSNY,Derelict Vehicles,Street,85 ROAD,Woodhaven
February,DOT,Street Light Condition,,,BRONX
February,NYPD,Noise - Residential,Residential Building/House,FORBELL STREET,BROOKLYN
February,DEP,Noise,,LAFAYETTE STREET,NEW YORK
February,NYPD,Illegal Parking,Street/Sidewalk,SAINT MARKS AVENUE,BROOKLYN
February,NYPD,Blocked Driveway,Street/Sidewalk,BROADWAY,BROOKLYN
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,EAST  214 STREET,BRONX
February,NYPD,Noise - Commercial,Club/Bar/Restaurant,EAST 183 STREET,BRONX
February,NYPD,Noise - Residential,Residential Building/House,WEST 48 STREET,NEW YORK
February,DEP,Sewer,,ATLANTIC AVENUE,BROOKLYN
February,HPD,WATER LEAK,RESIDENTIAL BUILDING,AMSTERDAM AVENUE,NEW YORK
February,NYPD,Blocked Driveway,Street/Sidewalk,65 PLACE,WOODSIDE
February,NYPD,Blocked Driveway,Street/Sidewalk,94 STREET,EAST ELMHURST
February,HPD,GENERAL,RESIDENTIAL BUILDING,ELLIOT PLACE,BRONX
February,NYPD,Noise - Residential,Residential Building/House,MACOMBS ROAD,BRONX
February,DSNY,Derelict Vehicles,Street,FURMAN AVENUE,BRONX
February,DEP,Water System,,71 STREET,Maspeth
February,NYPD,Blocked Driveway,Street/Sidewalk,AINSLIE STREET,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BRONXDALE AVENUE,BRONX
February,NYPD,Noise - Residential,Residential Building/House,VERMILYEA AVENUE,NEW YORK
February,DSNY,Graffiti,Comercial,EAST NEW YORK AVENUE,BROOKLYN
February,NYPD,Illegal Parking,Street/Sidewalk,MONTGOMERY STREET,BROOKLYN
February,NYPD,Noise - Residential,Residential Building/House,37 STREET,ASTORIA
February,DOHMH,Rodent,3+ Family Apt. Building,EAST   21 STREET,NEW YORK
February,DOT,Street Condition,,POE STREET,STATEN ISLAND
February,NYPD,Noise - Residential,Residential Building/House,DECATUR AVENUE,BRONX
February,NYPD,Noise - Residential,Residential Building/House,41 STREET,ASTORIA
February,NYPD,Noise - Residential,Residential Building/House,WELDON STREET,BROOKLYN
February,NYPD,Illegal Parking,Street/Sidewalk,,BRONX
February,NYPD,Noise - Residential,Residential Building/House,EVERGREEN AVENUE,BRONX
February,NYPD,Blocked Driveway,Street/Sidewalk,JEFFERSON AVENUE,BROOKLYN
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   85 STREET,BROOKLYN
February,NYPD,Illegal Parking,Street/Sidewalk,,NEW YORK
February,NYPD,Noise - Residential,Residential Building/House,EAST MOSHOLU PARKWAY SOUTH,BRONX
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BAILEY AVENUE,BRONX
February,NYPD,Illegal Parking,Street/Sidewalk,73 STREET,BROOKLYN
February,NYPD,Noise - Residential,Residential Building/House,PARSONS BOULEVARD,FRESH MEADOWS
February,NYPD,Noise - Residential,Residential Building/House,PARSONS BOULEVARD,FRESH MEADOWS
February,DOHMH,Rodent,Other (Explain Below),E 130TH ST,NEW YORK
February,DOT,Street Condition,Street,GREENE AVENUE,BROOKLYN
February,DOT,Street Condition,Street,GREENE AVENUE,BROOKLYN
February,DSNY,Dirty Conditions,Sidewalk,PIERCE AVENUE,BRONX
February,HRA,Benefit Card Replacement,NYC Street Address,,
February,DOF,DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",,BRONX
February,HPD,PLUMBING,RESIDENTIAL BUILDING,MC DONALD AVENUE,BROOKLYN
February,DEP,Water System,,109 STREET,South Ozone Park
February,DPR,Illegal Tree Damage,Street,3 AVENUE,NEW YORK
February,DOF,DOF Property - Request Copy,Property Address,,ASTORIA
February,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,51 STREET,BROOKLYN
February,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,110 STREET,Forest Hills
February,HPD,SAFETY,RESIDENTIAL BUILDING,HAMILTON PLACE,NEW YORK
February,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,MILLER AVENUE,BROOKLYN
February,NYPD,Noise - Commercial,Store/Commercial,BEACH AVENUE,BRONX
February,NYPD,Noise - Residential,Residential Building/House,8 AVENUE,NEW YORK
February,HPD,PLUMBING,RESIDENTIAL BUILDING,MADISON STREET,Ridgewood
February,DOT,Street Condition,,,STATEN ISLAND
February,DOB,General Construction/Plumbing,,17 ROAD,Whitestone
February,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,NEWBURG STREET,Saint Albans
March,HPD,ELECTRIC,RESIDENTIAL BUILDING,BOYNTON AVENUE,BRONX
March,NYPD,Noise - Residential,Residential Building/House,92 STREET,ELMHURST
March,DSNY,Derelict Vehicles,Street,UTOPIA PARKWAY,Flushing
March,HPD,FLOORING/STAIRS,RESIDENTIAL BUILDING,BEDFORD AVENUE,BROOKLYN
March,DSNY,Missed Collection (All Materials),Sidewalk,110 STREET,Forest Hills
March,DOT,Street Condition,Street,FREEDOM DRIVE,
March,DEP,Water System,,LOMBARDY STREET,BROOKLYN
March,HPD,WATER LEAK,RESIDENTIAL BUILDING,PRESIDENT STREET,BROOKLYN
March,DOF,DOF Property - Update Account,Property Address,,REGO PARK
March,DOT,Street Condition,,,Forest Hills
March,DOT,Street Condition,,HAMILTON AVENUE,BROOKLYN
March,HPD,FLOORING/STAIRS,RESIDENTIAL BUILDING,BRONX PARK EAST,BRONX
March,HPD,PLUMBING,RESIDENTIAL BUILDING,BRONX PARK EAST,BRONX
March,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,BEVERLY ROAD,BROOKLYN
March,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,BEVERLY ROAD,BROOKLYN
March,DOHMH,Food Establishment,Restaurant/Bar/Deli/Bakery,137 AVENUE,JAMAICA
March,NYPD,Derelict Vehicle,Street/Sidewalk,HEGEMAN AVENUE,BROOKLYN
March,DEP,Water System,,115 STREET,Richmond Hill
March,DOB,Elevator,,SIMPSON STREET,BRONX
March,DOT,Broken Muni Meter,Street,,NEW YORK
March,DOT,Street Light Condition,,,Astoria
March,NYPD,Blocked Driveway,Street/Sidewalk,EAST 52 STREET,BROOKLYN
March,HPD,ELECTRIC,RESIDENTIAL BUILDING,JEROME STREET,BROOKLYN
March,DHS,Homeless Person Assistance,,BROADWAY,NEW YORK
March,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,FULTON STREET,BROOKLYN
March,HPD,SAFETY,RESIDENTIAL BUILDING,ST JOHNS PLACE,BROOKLYN
March,NYPD,Blocked Driveway,Street/Sidewalk,WEST 74 STREET,NEW YORK
March,DOT,Traffic Signal Condition,,,
March,NYPD,Blocked Driveway,Street/Sidewalk,HIGHLAWN AVENUE,BROOKLYN
March,DOT,Street Condition,,HALE AVENUE,BROOKLYN
March,DEP,Water System,,,NEW YORK
March,HPD,ELECTRIC,RESIDENTIAL BUILDING,HALSEY STREET,BROOKLYN
March,NYPD,Noise - Residential,Residential Building/House,CLARKSON AVENUE,BROOKLYN
March,DPR,Agency Issues,,,
March,NYPD,Blocked Driveway,Street/Sidewalk,APEX PLACE,FOREST HILLS
March,NYPD,Noise - Commercial,Store/Commercial,BROADWAY,NEW YORK
March,DEP,Water System,,CHURCHILL AVENUE,STATEN ISLAND
March,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,EAST NEW YORK AVENUE,BROOKLYN
March,NYPD,Noise - Residential,Residential Building/House,EAST 93 STREET,NEW YORK
March,NYPD,Noise - Residential,Residential Building/House,WEST 131 STREET,NEW YORK
March,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SHERIDAN AVENUE,BRONX
March,DEP,Hazardous Materials,,GRAND ARMY PLAZA,BROOKLYN
March,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,PITKIN AVENUE,BROOKLYN
March,NYPD,Illegal Parking,Street/Sidewalk,,BROOKLYN
March,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,HEBERTON AVENUE,STATEN ISLAND
March,NYPD,Derelict Vehicle,Street/Sidewalk,84 STREET,OZONE PARK
March,NYPD,Noise - House of Worship,House of Worship,FORBELL STREET,BROOKLYN
March,DEP,Air Quality,,EAST   63 STREET,NEW YORK
March,DOT,Street Light Condition,,,BROOKLYN
March,DOT,Traffic Signal Condition,,,BROOKLYN
March,DOT,Street Sign - Damaged,Street,,BROOKLYN
March,DOT,Traffic Signal Condition,,,
March,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,OCEAN PARKWAY,BROOKLYN
March,NYPD,Illegal Parking,Street/Sidewalk,LOVELACE AVENUE,STATEN ISLAND
March,NYPD,Blocked Driveway,Street/Sidewalk,NEW YORK AVENUE,BROOKLYN
March,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,AUSTIN STREET,Rego Park
March,NYPD,Illegal Parking,Street/Sidewalk,BAYCHESTER AVENUE,BRONX
March,DEP,Noise,,EAST   95 STREET,NEW YORK
March,DOT,Street Condition,,CROTONA AVENUE,BRONX
March,DEP,Industrial Waste,,EAST   34 STREET,BROOKLYN
March,DOF,DOF Property - Request Copy,Property Address,,MIDDLE VILLAGE
March,NYPD,Noise - Residential,Residential Building/House,PITT STREET,NEW YORK
March,DOB,General Construction/Plumbing,,EAST   74 STREET,NEW YORK
March,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,40 STREET,BROOKLYN
March,DOB,Plumbing,,WEST 42 STREET,
March,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,155 AVENUE,Howard Beach
March,DCA,Consumer Complaint,,86 STREET,BROOKLYN
March,DOT,Street Condition,,,College Point
March,HPD,PLUMBING,RESIDENTIAL BUILDING,WHEELER AVENUE,BRONX
